Common Name,Formal Name,Type,Capital,Currency Code,Currency Name,Telephone Code,Letter Code
Afghanistan,Islamic State of Afghanistan,Independent State,Kabul,AFN,Afghani,93,AFG
Albania,Republic of Albania,Independent State,Tirana,ALL,Lek,355,ALB
Algeria,People's Democratic Republic of Algeria,Independent State,Algiers,DZD,Dinar,213,DZA
Andorra,Principality of Andorra,Independent State,Andorra la Vella,EUR,Euro,376,AND
Angola,Republic of Angola,Independent State,Luanda,AOA,Kwanza,244,AGO
Antigua and Barbuda,,Independent State,Saint John's,XCD,Dollar,-267,ATG
Argentina,Argentine Republic,Independent State,Buenos Aires,ARS,Peso,54,ARG
Armenia,Republic of Armenia,Independent State,Yerevan,AMD,Dram,374,ARM
Australia,Commonwealth of Australia,Independent State,Canberra,AUD,Dollar,61,AUS
Austria,Republic of Austria,Independent State,Vienna,EUR,Euro,43,AUT
Azerbaijan,Republic of Azerbaijan,Independent State,Baku,AZN,Manat,994,AZE
"Bahamas, The",Commonwealth of The Bahamas,Independent State,Nassau,BSD,Dollar,-241,BHS
Bahrain,Kingdom of Bahrain,Independent State,Manama,BHD,Dinar,973,BHR
Bangladesh,People's Republic of Bangladesh,Independent State,Dhaka,BDT,Taka,880,BGD
Barbados,,Independent State,Bridgetown,BBD,Dollar,-245,BRB
Belarus,Republic of Belarus,Independent State,Minsk,BYR,Ruble,375,BLR
Belgium,Kingdom of Belgium,Independent State,Brussels,EUR,Euro,32,BEL
Belize,,Independent State,Belmopan,BZD,Dollar,501,BLZ
Benin,Republic of Benin,Independent State,Porto-Novo,XOF,Franc,229,BEN
Bhutan,Kingdom of Bhutan,Independent State,Thimphu,BTN,Ngultrum,975,BTN
Bolivia,Republic of Bolivia,Independent State,La Paz (administrative/legislative) and Sucre (judical),BOB,Boliviano,591,BOL
Bosnia and Herzegovina,,Independent State,Sarajevo,BAM,Marka,387,BIH
Botswana,Republic of Botswana,Independent State,Gaborone,BWP,Pula,267,BWA
Brazil,Federative Republic of Brazil,Independent State,Brasilia,BRL,Real,55,BRA
Brunei,Negara Brunei Darussalam,Independent State,Bandar Seri Begawan,BND,Dollar,673,BRN
Bulgaria,Republic of Bulgaria,Independent State,Sofia,BGN,Lev,359,BGR
Burkina Faso,,Independent State,Ouagadougou,XOF,Franc,226,BFA
Burundi,Republic of Burundi,Independent State,Bujumbura,BIF,Franc,257,BDI
Cambodia,Kingdom of Cambodia,Independent State,Phnom Penh,KHR,Riels,855,KHM
Cameroon,Republic of Cameroon,Independent State,Yaounde,XAF,Franc,237,CMR
Canada,,Independent State,Ottawa,CAD,Dollar,1,CAN
Cape Verde,Republic of Cape Verde,Independent State,Praia,CVE,Escudo,238,CPV
Central African Republic,,Independent State,Bangui,XAF,Franc,236,CAF
Chad,Republic of Chad,Independent State,N'Djamena,XAF,Franc,235,TCD
Chile,Republic of Chile,Independent State,Santiago (administrative/judical) and Valparaiso (legislative),CLP,Peso,56,CHL
"China, People's Republic of",People's Republic of China,Independent State,Beijing,CNY,Yuan Renminbi,86,CHN
Colombia,Republic of Colombia,Independent State,Bogota,COP,Peso,57,COL
Comoros,Union of Comoros,Independent State,Moroni,KMF,Franc,269,COM
"Congo, Democratic Republic of the (Congo – Kinshasa)",Democratic Republic of the Congo,Independent State,Kinshasa,CDF,Franc,243,COD
"Congo, Republic of the (Congo – Brazzaville)",Republic of the Congo,Independent State,Brazzaville,XAF,Franc,242,COG
Costa Rica,Republic of Costa Rica,Independent State,San Jose,CRC,Colon,506,CRI
Cote d'Ivoire (Ivory Coast),Republic of Cote d'Ivoire,Independent State,Yamoussoukro,XOF,Franc,225,CIV
Croatia,Republic of Croatia,Independent State,Zagreb,HRK,Kuna,385,HRV
Cuba,Republic of Cuba,Independent State,Havana,CUP,Peso,53,CUB
Cyprus,Republic of Cyprus,Independent State,Nicosia,CYP,Pound,357,CYP
Czech Republic,,Independent State,Prague,CZK,Koruna,420,CZE
Denmark,Kingdom of Denmark,Independent State,Copenhagen,DKK,Krone,45,DNK
Djibouti,Republic of Djibouti,Independent State,Djibouti,DJF,Franc,253,DJI
Dominica,Commonwealth of Dominica,Independent State,Roseau,XCD,Dollar,-766,DMA
Dominican Republic,,Independent State,Santo Domingo,DOP,Peso,+1-809 and 1-829,DOM
Ecuador,Republic of Ecuador,Independent State,Quito,USD,Dollar,593,ECU
Egypt,Arab Republic of Egypt,Independent State,Cairo,EGP,Pound,20,EGY
El Salvador,Republic of El Salvador,Independent State,San Salvador,USD,Dollar,503,SLV
Equatorial Guinea,Republic of Equatorial Guinea,Independent State,Malabo,XAF,Franc,240,GNQ
Eritrea,State of Eritrea,Independent State,Asmara,ERN,Nakfa,291,ERI
Estonia,Republic of Estonia,Independent State,Tallinn,EEK,Kroon,372,EST
Ethiopia,Federal Democratic Republic of Ethiopia,Independent State,Addis Ababa,ETB,Birr,251,ETH
Fiji,Republic of the Fiji Islands,Independent State,Suva,FJD,Dollar,679,FJI
